station_id,ts,temperature,humidity,noise,is_anomaly,y_true,created_at,mlflow_id
pi1,2026-03-06 23:12:04,25.86503741484169,42.67173226622894,48.19609074981528,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.995524728860094,49.846713017106566,54.17169327822484,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.280438613162985,48.74922309003829,54.08251322095272,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.0966021552861,51.5541109759405,45.655790526274416,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.92621369435149,43.91582675853064,39.41936154510821,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.990594356844507,35.0467026709509,39.13155696588667,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,26.458382079121755,45.00074483300928,51.90029866331869,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.38969414110902,32.96414092024885,44.68191023016438,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,19.92716746751785,34.140987203601966,51.25848189996778,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.94596572063449,48.06509116908767,58.90932257358332,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.010869048361407,61.60091972062784,51.92179846653847,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,21.884321114154773,38.68254124393539,44.275643701255866,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.316556219333183,44.65880295712986,60.09562645172917,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,21.782184222856547,62.43090075280288,58.88187258654264,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,26.56820468029877,36.43962041822176,43.304908257537335,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.264811520558613,43.78815472385611,53.01965974423419,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,20.0482203469546,36.04063980771066,54.100401913152496,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.69336072197939,39.66586601109927,62.92016412320882,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.017247727203547,49.75154142906452,40.85639845884824,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.512783274809685,64.41458308035341,44.22631515065277,True,True,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.8669322863354,52.21943219427487,47.45050790848798,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.61671647671161,40.92618624014376,51.3778328062714,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.40599337460561,51.19743883046392,54.43506132041766,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.080986760157028,44.9498768093182,62.73168807383264,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.77958650770993,60.37345872957452,50.60455547829754,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.44926190354532,47.67164589606359,48.6109037150563,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.94245565617945,46.88465302232333,50.309420321805845,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.72349918363682,53.83293302885546,54.60176336774862,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,26.57337915273005,46.90690015982304,59.848440661213104,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,19.78944829269553,46.137086967017055,50.51643297563021,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.08992927133678,36.60234410102085,45.76155653816576,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.14060230306505,41.745804499084464,49.090625609484434,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.18415018469745,40.52443705644541,53.04111743554157,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.353244292681183,36.99629596247625,54.91409106848162,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,21.72229533029224,55.30762336625597,44.534933167479736,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.161067870369656,41.78922183062073,48.600663527440446,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,27.31431929370888,47.2285959682096,48.31387907541759,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.29580327842032,48.11198174628833,52.21775194668404,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.20094925871341,37.55290323961397,51.032626798925904,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.08823591261782,46.95587914377179,49.55923958315251,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,25.432646539551744,43.54401074596402,55.520195948919415,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,26.275407621648352,48.40236935705053,42.10935641561812,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.804006567958844,43.90651343349774,60.6412205512576,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.290450461231632,34.42616057205186,46.6474665273896,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.89478981382529,40.21675987735792,57.22861794917988,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,24.503613961853457,46.04004749313288,45.81104410663851,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,23.30516206881168,51.96760828665296,55.37913953926899,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,22.756795666147458,51.13532629726005,48.34198246133947,False,False,2026-03-06 23:12:04,
pi1,2026-03-06 23:12:04,19.588953879843004,47.96611475167719,56.78755691093676,False,False,2026-03-06 23:12:04,
